color,ages
#1996F3,Palaeozoic
#04B9EA,Mesozoic to Cainozoic
#24D8DF,Mesozoic
#42EDD3,Archaean to Proterozoic
#60FAC5,Proterozoic
#80FFB4,Proterozoic to Palaeozoic
#9EFAA2,Palaeozoic to Mesozoic
#BCED8F,Archaean
#DBD87B,Palaeozoic to Cainozoic
#FBB965,Cainozoic
#FF964F,Proterozoic to Mesozoic
